Student_ID,Name,Gender,Age,Education_Level,Discipline,Skills,Preferred_Location,Fallback_City,Sector_Interest,Category,District_Type,CGPA,Percentage,Availability,Preferred_Mode,Languages_Known,Experience_Level,Project_Experience,Num_Projects,Aptitude_Score,Soft_Skills_Rating,Relocation_Willingness,Smart_City_Preference,Smart_Domain_Interest
S00001,Balhaar Hegde,Other,28,PG,Engineering,"Blockchain, ML",Noida,Delhi,Healthcare,GEN,Aspirational,8.6,71,Part-time,Offline,English,2+ years,No,0,47,3,No,Bangalore,Mobility
S00002,Geetika Krishnan,Other,18,UG,Commerce,"App Dev, ML, Cybersecurity, Data Science",Durgapur,Pune,Research,ST,Aspirational,9.43,91,Part-time,Online,English,1-2 years,No,2,88,3,No,Kanpur,Water Supply
S00003,Darsh Dua,Female,19,UG,Engineering,IoT,Jaipur,Delhi,Education,SC,Urban,6.42,89,Full-time,Hybrid,English,1-2 years,Yes,0,85,1,Yes,Chandigarh,Energy
S00004,Ojasvi Kakar,Female,20,UG,Science,"Cloud, Finance, Data Science",Delhi,Gurugram,IT,OBC,Rural,8.12,91,Full-time,Hybrid,Regional,1-2 years,No,1,59,2,No,Kanpur,Governance
S00005,Adya Bajwa,Female,19,PG,Science,Data Science,Jaipur,Delhi,E-Governance,OBC,Aspirational,9.59,86,Full-time,Offline,"Hindi, English",2+ years,Yes,1,70,4,Yes,Coimbatore,Mobility
S00006,Nisha Jani,Female,23,PG,Arts,"SQL, Cybersecurity, Finance, C++",Durgapur,Bangalore,Healthcare,ST,Urban,9.95,71,Part-time,Offline,"English, Regional",2+ years,Yes,6,100,1,Yes,Kolkata,Governance
S00007,Saksham Dada,Other,20,UG,Engineering,"Web Dev, ML, Cloud",Hyderabad,Warangal,Research,GEN,Rural,8.42,93,Full-time,Hybrid,Regional,2+ years,No,3,84,3,No,Delhi,Water Supply
S00008,Mugdha Dutta,Female,24,PG,Commerce,"Web Dev, Blockchain, C++, Finance",Durgapur,Bangalore,E-Governance,ST,Urban,7.21,61,Part-time,Hybrid,"Hindi, English",2+ years,Yes,6,52,2,Yes,Durgapur,Water Supply
S00009,Ekaraj Pandit,Other,27,PhD,Engineering,"Python, AI, Marketing",Jaipur,Delhi,Education,OBC,Aspirational,6.55,68,Full-time,Online,"English, Hindi",1-2 years,Yes,5,61,2,No,Vadodara,Water Supply
S00010,Utkarsh Ahuja,Female,29,PhD,Science,"Marketing, Cloud",Durgapur,Chennai,Healthcare,GEN,Aspirational,5.9,97,Full-time,Online,English,1-2 years,No,0,96,2,Yes,Nagpur,Healthcare
S00011,Chaitaly Choudhary,Male,21,PG,Engineering,"IoT, ML, Blockchain, App Dev",Indore,Bhopal,Research,GEN,Aspirational,6.54,82,Part-time,Online,"Regional, Hindi",2+ years,No,1,97,5,Yes,Mumbai,Waste Management
S00012,Nimrat Muni,Other,22,UG,Commerce,"Python, AI, C++, Java",Surat,Vadodara,Healthcare,ST,Rural,6.17,89,Part-time,Hybrid,"Regional, English",1-2 years,Yes,6,94,5,Yes,Chennai,Waste Management
S00013,Liam Khare,Other,29,PG,Science,Data Science,Coimbatore,Delhi,Finance,EWS,Rural,8.24,88,Full-time,Hybrid,"Hindi, Regional",Fresher,No,6,42,3,No,Mumbai,Energy
S00014,Lakshmi Bail,Female,25,PG,Science,"Data Science, AI, Java, Cybersecurity",Indore,Bhopal,Healthcare,OBC,Rural,5.51,65,Part-time,Offline,"Hindi, Regional",1-2 years,Yes,6,67,1,No,Kolkata,Water Supply
S00015,Zansi Desai,Other,18,PhD,Engineering,"ML, Cloud",Jaipur,Delhi,Education,EWS,Aspirational,9.08,62,Part-time,Hybrid,"Hindi, English",Fresher,No,4,87,4,No,Surat,Water Supply
S00016,Zilmil Bail,Female,24,UG,Engineering,"Data Science, AI",Bangalore,Mysuru,E-Governance,SC,Rural,8.63,80,Part-time,Offline,English,1-2 years,Yes,4,47,5,No,Mysuru,Healthcare
S00017,Utkarsh Sharma,Other,26,PhD,Management,"IoT, ML",Indore,Bhopal,Finance,ST,Urban,8.58,95,Full-time,Offline,"Hindi, Regional",2+ years,Yes,0,86,4,Yes,Lucknow,Governance
S00018,Mitesh Deol,Male,21,PG,Management,"Cybersecurity, Public Policy, Marketing, Finance",Mysuru,Mumbai,Education,OBC,Urban,5.9,96,Part-time,Offline,"English, Regional",Fresher,Yes,2,71,4,Yes,Gurugram,Governance
S00019,Ridhi Bala,Male,28,PG,Arts,"Marketing, Blockchain, Python",Gaya,Delhi,Education,ST,Aspirational,7.8,89,Full-time,Hybrid,Hindi,1-2 years,No,0,85,1,Yes,Guwahati,Waste Management
S00020,Ikbal Borah,Other,26,PG,Management,Public Policy,Indore,Bhopal,Finance,SC,Urban,8.51,75,Full-time,Hybrid,"English, Hindi",1-2 years,No,0,67,5,No,Gurugram,Waste Management
S00021,Waida Bajwa,Male,20,PG,Engineering,Finance,Nagpur,Bangalore,Finance,ST,Urban,9.07,69,Full-time,Hybrid,English,Fresher,No,0,65,4,No,Patna,Energy
S00022,Vasudha Date,Female,26,PG,Management,Data Science,Nagpur,Mumbai,Research,EWS,Aspirational,5.35,93,Full-time,Hybrid,"Regional, English",1-2 years,No,0,76,5,Yes,Guwahati,Mobility
S00023,Jhalak Bhattacharyya,Other,25,PhD,Science,"SQL, Marketing, Java",Mysuru,Mumbai,Manufacturing,GEN,Rural,7.81,92,Full-time,Online,Regional,Fresher,No,5,84,3,No,Kanpur,Energy
S00024,Forum Banik,Female,27,UG,Engineering,"AI, ML",Gaya,Chennai,Healthcare,OBC,Aspirational,7.31,64,Full-time,Online,"English, Hindi",1-2 years,No,6,49,2,No,Bangalore,Energy
S00025,Forum Basu,Other,23,PG,Science,"Cybersecurity, Cloud",Nagpur,Hyderabad,Healthcare,OBC,Rural,7.5,71,Part-time,Hybrid,Hindi,2+ years,Yes,1,76,4,No,Mumbai,Energy
S00026,Januja Sarraf,Male,30,PG,Management,IoT,Guwahati,Kolkata,Agriculture,OBC,Urban,6.95,75,Full-time,Offline,"Regional, Hindi",2+ years,Yes,1,70,3,No,Kolkata,Mobility
S00027,Inaya Chander,Female,24,PG,Arts,Python,Bhopal,Indore,Smart Mobility,EWS,Aspirational,7.28,62,Full-time,Offline,English,Fresher,Yes,3,49,5,No,Kolkata,Mobility
S00028,Rachit Dalal,Male,20,UG,Engineering,"Java, Blockchain",Guwahati,Kolkata,Research,OBC,Urban,8.38,80,Part-time,Online,Hindi,2+ years,Yes,0,54,2,Yes,Warangal,Healthcare
S00029,Ekbal Tandon,Male,29,UG,Commerce,"Python, ML",Patna,Gaya,Agriculture,SC,Urban,5.11,91,Full-time,Hybrid,"Regional, English",2+ years,Yes,1,58,3,Yes,Vadodara,Healthcare
S00030,Hritik Pal,Other,19,PG,Management,"ML, Cybersecurity, App Dev",Noida,Delhi,Smart Mobility,ST,Aspirational,5.41,89,Full-time,Hybrid,"English, Regional",1-2 years,Yes,5,41,3,Yes,Vadodara,Waste Management
S00031,Warjas Sathe,Male,27,UG,Commerce,App Dev,Kolkata,Durgapur,Finance,GEN,Rural,9.73,69,Part-time,Hybrid,Hindi,1-2 years,Yes,5,71,1,No,Bhopal,Energy
S00032,Bhavika Subramanian,Other,27,UG,Commerce,"IoT, C++",Delhi,Gurugram,Smart Mobility,ST,Aspirational,9.0,86,Full-time,Hybrid,"Hindi, English",2+ years,No,5,97,2,Yes,Lucknow,Mobility
S00033,Chakradhar Raman,Other,26,UG,Engineering,AI,Delhi,Gurugram,Smart Mobility,ST,Urban,5.22,76,Full-time,Hybrid,English,1-2 years,Yes,2,50,1,No,Noida,Water Supply
S00034,Advaith Lala,Other,20,UG,Engineering,Marketing,Warangal,Chennai,Healthcare,SC,Aspirational,7.0,71,Full-time,Online,"English, Regional",Fresher,No,4,82,3,No,Bhopal,Healthcare
S00035,Wriddhish Bava,Female,29,UG,Commerce,"SQL, Cybersecurity, C++",Gurugram,Pune,Finance,ST,Aspirational,9.41,84,Part-time,Online,Hindi,Fresher,No,5,60,5,No,Ahmedabad,Waste Management
S00036,Shaurya Roy,Female,19,UG,Science,C++,Vadodara,Pune,Smart Mobility,ST,Urban,7.69,69,Part-time,Offline,English,Fresher,No,5,47,5,No,Mysuru,Healthcare
S00037,Bachittar Warrior,Male,25,UG,Science,"Python, Public Policy",Patna,Gaya,Research,EWS,Urban,7.21,97,Full-time,Hybrid,"Hindi, English",2+ years,Yes,2,92,1,Yes,Noida,Water Supply
S00038,Yasti Bhakta,Male,23,UG,Management,C++,Guwahati,Kolkata,Research,SC,Aspirational,6.65,92,Part-time,Hybrid,"English, Hindi",1-2 years,No,3,48,3,No,Vadodara,Energy
S00039,Elijah Sha,Female,26,PG,Science,Cybersecurity,Warangal,Chennai,Manufacturing,OBC,Rural,7.29,97,Part-time,Offline,Hindi,2+ years,No,1,53,5,Yes,Patna,Waste Management
S00040,Ryan Shetty,Other,18,PG,Commerce,"C++, Cloud, IoT",Mumbai,Pune,IT,ST,Aspirational,7.2,61,Full-time,Hybrid,English,1-2 years,No,6,57,1,No,Guwahati,Governance
S00041,Ridhi Munshi,Female,23,PhD,Commerce,"ML, Blockchain, Marketing",Chandigarh,Delhi,Finance,EWS,Urban,5.04,63,Full-time,Hybrid,"Hindi, Regional",1-2 years,Yes,4,58,5,Yes,Mysuru,Healthcare
S00042,Garima Sathe,Male,22,PG,Arts,"Blockchain, App Dev, Data Science, SQL",Lucknow,Kanpur,Agriculture,EWS,Urban,5.53,78,Full-time,Offline,"Regional, English",Fresher,No,5,84,1,No,Vadodara,Waste Management
S00043,Libni Bhavsar,Female,28,UG,Science,"Blockchain, Marketing, SQL",Lucknow,Kanpur,Manufacturing,GEN,Aspirational,9.9,77,Full-time,Online,"Hindi, English",1-2 years,No,5,85,2,No,Delhi,Water Supply
S00044,Bhavna Mohanty,Other,19,PG,Science,"Java, AI, Finance",Bhopal,Indore,E-Governance,GEN,Rural,5.98,78,Part-time,Online,Regional,1-2 years,Yes,4,81,3,Yes,Noida,Water Supply
S00045,Fariq Choudhry,Other,20,PhD,Commerce,"Marketing, Java, ML",Kolkata,Durgapur,Agriculture,EWS,Rural,7.64,71,Part-time,Online,English,Fresher,Yes,2,99,1,Yes,Pune,Governance
S00046,Jagvi Pillai,Other,28,UG,Engineering,"Java, Marketing, C++, ML",Chandigarh,Delhi,Agriculture,GEN,Urban,5.11,61,Part-time,Hybrid,Hindi,Fresher,No,1,99,1,No,Gurugram,Waste Management
S00047,Brijesh Sampath,Other,30,UG,Science,"C++, Java, SQL, IoT",Chennai,Coimbatore,Finance,GEN,Aspirational,7.71,97,Part-time,Online,English,2+ years,Yes,2,98,4,Yes,Mysuru,Mobility
S00048,Laban Narain,Male,19,UG,Commerce,Public Policy,Ahmedabad,Surat,Healthcare,SC,Rural,7.43,77,Full-time,Hybrid,Hindi,2+ years,No,6,44,5,No,Lucknow,Waste Management
S00049,Shivansh Lal,Female,18,PG,Arts,"Cloud, App Dev, Java",Warangal,Delhi,E-Governance,SC,Urban,7.54,61,Part-time,Hybrid,"Hindi, English",2+ years,Yes,4,92,1,No,Vadodara,Governance
S00050,Aashi Vasa,Other,27,UG,Engineering,"C++, Web Dev",Mumbai,Pune,Research,ST,Urban,8.79,81,Part-time,Hybrid,Hindi,Fresher,No,0,79,1,No,Lucknow,Water Supply
S00051,Gautami Varty,Male,25,UG,Science,"Cybersecurity, C++",Warangal,Hyderabad,Research,EWS,Aspirational,9.85,65,Part-time,Hybrid,English,Fresher,No,0,46,2,Yes,Hyderabad,Healthcare
S00052,Maanav Vig,Male,21,UG,Management,"Blockchain, Marketing",Jaipur,Delhi,Agriculture,OBC,Rural,5.8,68,Full-time,Offline,"English, Regional",Fresher,Yes,5,72,4,Yes,Mysuru,Energy
S00053,Mohini Ratti,Male,22,UG,Arts,"App Dev, SQL, IoT, Java",Surat,Vadodara,Research,SC,Rural,9.87,81,Full-time,Hybrid,"Hindi, English",2+ years,Yes,0,94,2,Yes,Warangal,Governance
S00054,Frederick Mall,Other,22,UG,Engineering,"Public Policy, SQL",Indore,Bhopal,Finance,ST,Aspirational,6.24,86,Full-time,Offline,"English, Regional",2+ years,Yes,5,54,2,Yes,Noida,Water Supply
S00055,Meera Bawa,Female,21,UG,Arts,"C++, Python, Finance",Bangalore,Mysuru,Research,SC,Rural,8.33,86,Part-time,Offline,"Hindi, Regional",Fresher,No,5,75,5,Yes,Kanpur,Water Supply
S00056,Darsh Oak,Other,24,UG,Commerce,"App Dev, Python, SQL, Data Science",Gurugram,Bangalore,Agriculture,SC,Rural,5.1,95,Part-time,Online,English,2+ years,No,6,88,2,No,Indore,Energy
